"year","going_out","age","gender","country","province_n_county","100_grand_bar","anonymous_brown_globs_that_come_in_black_and_orange_wrappers_a_k_a_mary_janes","any_full_sized_candy_bar","black_jacks","bonkers_the_candy","bonkers_the_board_game","bottle_caps","boxo_raisins","broken_glow_stick","butterfinger","cadbury_creme_eggs","candy_corn","candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants","caramellos","cash_or_other_forms_of_legal_tender","chardonnay","chick_o_sticks_we_don_t_know_what_that_is","chiclets","coffee_crisp","creepy_religious_comics_chick_tracts","dental_paraphenalia","dots","dove_bars","fuzzy_peaches","generic_brand_acetaminophen","glow_sticks","goo_goo_clusters","good_n_plenty","gum_from_baseball_cards","gummy_bears_straight_up","hard_candy","healthy_fruit","heath_bar","hersheys_dark_chocolate","hershey_s_milk_chocolate","hersheys_kisses","hugs_actual_physical_hugs","jolly_rancher_bad_flavor","jolly_ranchers_good_flavor","joy_joy_mit_iodine","junior_mints","senior_mints","kale_smoothie","kinder_happy_hippo","kit_kat","laffy_taffy","lemon_heads","licorice_not_black","licorice_yes_black","lindt_truffle","lollipops","mars","maynards","mike_and_ike","milk_duds","milky_way","regular_m_ms","peanut_m_m_s","blue_m_ms","red_m_ms","green_party_m_ms","independent_m_ms","abstained_from_m_ming","minibags_of_chips","mint_kisses","mint_juleps","mr_goodbar","necco_wafers","nerds","nestle_crunch","nown_laters","peeps","pencils","pixy_stix","real_housewives_of_orange_county_season_9_blue_ray","reese_s_peanut_butter_cups","reeses_pieces","reggie_jackson_bar","rolos","sandwich_sized_bags_filled_with_boo_berry_crunch","skittles","smarties_american","smarties_commonwealth","snickers","sourpatch_kids_i_e_abominations_of_nature","spotted_dick","starburst","sweet_tarts","swedish_fish","sweetums_a_friend_to_diabetes","take_5","tic_tacs","those_odd_marshmallow_circus_peanut_things","three_musketeers","tolberone_something_or_other","trail_mix","twix","vials_of_pure_high_fructose_corn_syrup_for_main_lining_into_your_vein","vicodin","whatchamacallit_bars","white_bread","whole_wheat_anything","york_peppermint_patties"
2017,"No","62","Female","us","NC","MEH","MEH","JOY",NA,NA,NA,NA,"MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY",NA,"DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH",NA,"MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR",NA,"MEH",NA,NA,NA,"JOY",NA,NA,"MEH",NA,"JOY","MEH","MEH",NA,NA,"DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR",NA,"DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY",NA,NA,"DESPAIR","JOY","DESPAIR",NA,"JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR",NA,"DESPAIR","DESPAIR","JOY"
2017,"No","45","Male","us","NY","JOY","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH"
2017,"No","35","Male","us","Oregon","JOY","DESPAIR","JOY",NA,"JOY",NA,"JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR",NA,"JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR",NA,"JOY",NA,"MEH",NA,"JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR",NA,"DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","MEH",NA,"JOY","JOY","JOY","JOY",NA,"JOY","JOY",NA,"MEH","JOY","MEH",NA,"JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY"
2017,"No","35","Male","us","CA",NA,"DESPAIR","JOY",NA,NA,NA,"JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH",NA,"DESPAIR",NA,"DESPAIR","DESPAIR","DESPAIR","JOY",NA,"DESPAIR","MEH",NA,"DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY",NA,"MEH",NA,"DESPAIR",NA,"MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","JOY",NA,"JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY",NA,"MEH",NA,"JOY","JOY",NA,"JOY","JOY",NA,"JOY","JOY","MEH",NA,NA,"MEH","DESPAIR","MEH","MEH","MEH","JOY",NA,NA,NA,NA,NA,"MEH"
2017,"No","41","Male","us","Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,"48","Male","us","CA","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY"
2017,"No","32","Male","us","Florida","JOY","DESPAIR","MEH",NA,NA,NA,"MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY",NA,"JOY",NA,"DESPAIR",NA,"JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","JOY",NA,"JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH"
2017,"Yes","4","Male","us","Arizona","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR",NA,"JOY","JOY","JOY","JOY","DESPAIR",NA,"DESPAIR","JOY",NA,"JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY",NA,NA,NA,"JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH",NA,NA,"DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH"
2017,"No","55","Male","us","suffolk county ny","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH"
2017,"No","38","Male","us","Ny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","5","I'd rather not say","us","Oklahoma","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY"
2017,"No","51","Male","us","Santa Clara County, California","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH"
2017,"No","43","Female","us","SC","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH"
2017,"No","4","Female","us","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","49","Male","us","WA","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","JOY","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY"
2017,"No","39","Male","us","louisiana","JOY","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY",NA,"DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY"
2017,"No","58","Male","us","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","36","Male","canada","Alberta","MEH","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH"
2017,"No","45","Male","us","North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","54","Male","us","pa","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY"
2017,"No","54","Male","us","Md","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY"
2017,"No","32","Male","us","Missoure","DESPAIR","DESPAIR","JOY",NA,NA,NA,"DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH",NA,NA,NA,"JOY","DESPAIR","MEH","MEH","JOY",NA,"JOY","DESPAIR","DESPAIR","DESPAIR",NA,NA,NA,NA,NA,"MEH","MEH","DESPAIR","MEH","MEH",NA,"DESPAIR","DESPAIR","DESPAIR",NA,"MEH","MEH","MEH","DESPAIR","DESPAIR",NA,"MEH","MEH",NA,"DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH",NA,NA,NA,NA,"DESPAIR","MEH",NA,"DESPAIR","DESPAIR","JOY","MEH",NA,"JOY","MEH",NA,"MEH",NA,"MEH","MEH",NA,"MEH",NA,NA,"MEH","MEH","MEH",NA,NA,NA,"DESPAIR","MEH",NA,NA,"MEH",NA,NA,NA,NA,NA,NA
2017,"No","42","Male","us","Colorado","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","MEH"
2017,"No","41","Male","us","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","5","Female","us","Wisconsin","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY"
2017,"No","63","Female","us","MO","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR"
